Subject_code,foreperiod,predictability,difficulty,d_prime,perf
1,0.65,1,4,0.918807740056007,1
1,0.65,1,6,-0.201044750550166,1
1,0.65,1,8,1.09466949920944,1
1,0.65,1,10,-0.900952557179025,1
1,0.65,3,4,1.05878930138178,1
1,0.65,3,6,-1.88082348645943,1
1,0.65,3,8,0.208087084280972,1
1,0.65,3,10,-0.574328914085558,1
1,1.4,1,4,2.03866023066218,1
1,1.4,1,6,0.0789183721013769,1
1,1.4,1,8,-0.574328914085558,1
1,1.4,1,10,0.229667745836823,1
1,1.4,3,4,2.03866023066218,1
1,1.4,3,6,1.25476348723786,1
1,1.4,3,8,0.732165658288311,1
1,1.4,3,10,-0.793311963696029,1
2,0.65,1,4,2.03866023066218,1
2,0.65,1,6,-0.313029999610784,1
2,0.65,1,8,-1.33706772507773,1
2,0.65,1,10,-0.900952557179025,1
2,0.65,3,4,1.38541294447525,1
2,0.65,3,6,-1.88082348645943,1
2,0.65,3,8,-0.313029999610784,1
2,0.65,3,10,-1.22757620027249,1
2,1.4,1,4,1.05878930138178,1
2,1.4,1,6,0.918807740056007,1
2,1.4,1,8,-1.35859584377433,1
2,1.4,1,10,-0.24770527099209,1
2,1.4,3,4,-0.574328914085558,1
2,1.4,3,6,0.0789183721013769,1
2,1.4,3,8,0.0789183721013769,1
2,1.4,3,10,-0.900952557179025,1
3,0.65,1,4,0.918807740056007,1
3,0.65,1,6,1.6572908251661,1
3,0.65,1,8,0.732165658288311,1
3,0.65,1,10,-1.29401148768453,1
3,0.65,3,4,0.732165658288311,1
3,0.65,3,6,-0.313029999610784,1
3,0.65,3,8,0.470866743813537,1
3,0.65,3,10,-1.44655924988296,1
3,1.4,1,4,2.03866023066218,1
3,1.4,1,6,0.622674133483076,1
3,1.4,1,8,-0.836368201089227,1
3,1.4,1,10,-0.753016102384452,1
3,1.4,3,4,2.03866023066218,1
3,1.4,3,6,-0.809482447617417,1
3,1.4,3,8,-0.574328914085558,1
3,1.4,3,10,0.110655270749604,1
4,0.65,1,4,1.71203658756871,1
4,0.65,1,6,1.54872476602198,1
4,0.65,1,8,0.0867290371554577,1
4,0.65,1,10,-1.9921659425869,1
4,0.65,3,4,2.03866023066218,1
4,0.65,3,6,-1.03345294573865,1
4,0.65,3,8,-0.0305731527038589,1
4,0.65,3,10,-1.3694086929205,1
4,1.4,1,4,0.316126306838037,1
4,1.4,1,6,1.38541294447525,1
4,1.4,1,8,-0.384120079882888,1
4,1.4,1,10,-1.01750212334255,1
4,1.4,3,4,2.03866023066218,1
4,1.4,3,6,-0.793311963696029,1
4,1.4,3,8,-0.707199488909632,1
4,1.4,3,10,-1.68707041819003,1
8,0.65,1,4,2.03866023066218,1
8,0.65,1,6,1.00404353897916,1
8,0.65,1,8,-1.37479885422763,1
8,0.65,1,10,1.09466949920944,1
8,0.65,3,4,2.03866023066218,1
8,0.65,3,6,1.38541294447525,1
8,0.65,3,8,-1.88082348645943,1
8,0.65,3,10,0.51318260867784,1
8,1.4,1,4,1.64671185895002,1
8,1.4,1,6,0.659171308418154,1
8,1.4,1,8,1.60316203987089,1
8,1.4,1,10,-1.30180450435748,1
8,1.4,3,4,2.03866023066218,1
8,1.4,3,6,2.03866023066218,1
8,1.4,3,8,2.03866023066218,1
8,1.4,3,10,2.03866023066218,1
10,0.65,1,4,1.58101694406688,1
10,0.65,1,6,1.33459363590018,1
10,0.65,1,8,0.461164453460705,1
10,0.65,1,10,0.586176958547997,1
10,0.65,3,4,2.03866023066218,1
10,0.65,3,6,0.732165658288311,1
10,0.65,3,8,-1.81734968916297,1
10,0.65,3,10,-0.0305731527038589,1
10,1.4,1,4,2.03866023066218,1
10,1.4,1,6,0.601146014786476,1
10,1.4,1,8,-0.357813772904739,1
10,1.4,1,10,0.374502824861082,1
10,1.4,3,4,2.03866023066218,1
10,1.4,3,6,2.03866023066218,1
10,1.4,3,8,-1.45713821609904,1
10,1.4,3,10,-4.2175513712001,1
13,0.65,1,4,1.38541294447525,1
13,0.65,1,6,0.290761007281571,1
13,0.65,1,8,-1.64937181557205,1
13,0.65,1,10,-1.40640761698611,1
13,0.65,3,4,1.46660612241805,1
13,0.65,3,6,-1.45713821609904,1
13,0.65,3,8,0.732165658288311,1
13,0.65,3,10,0.110655270749604,1
13,1.4,1,4,2.03866023066218,1
13,1.4,1,6,0.350796252792226,1
13,1.4,1,8,-1.01709659437279,1
13,1.4,1,10,0.150678767756708,1
13,1.4,3,4,2.03866023066218,1
13,1.4,3,6,1.25476348723786,1
13,1.4,3,8,0.918807740056007,1
13,1.4,3,10,-2.73152570356023,1
14,0.65,1,4,2.03866023066218,1
14,0.65,1,6,-0.931991747512787,1
14,0.65,1,8,-0.739491666954531,1
14,0.65,1,10,-1.77318289297643,1
14,0.65,3,4,2.03866023066218,1
14,0.65,3,6,1.38541294447525,1
14,0.65,3,8,-3.65762512589701,1
14,0.65,3,10,-0.24955620231433,1
14,1.4,1,4,2.03866023066218,1
14,1.4,1,6,0.659171308418154,1
14,1.4,1,8,0.502603642461764,1
14,1.4,1,10,-2.17756116222691,1
14,1.4,3,4,1.38541294447525,1
14,1.4,3,6,-0.673241472674718,1
14,1.4,3,8,0.110655270749604,1
14,1.4,3,10,-2.96145790565123,1
18,0.65,1,4,2.03866023066218,1
18,0.65,1,6,0.894552014173925,1
18,0.65,1,8,0.601146014786476,1
18,0.65,1,10,0.0789183721013769,1
18,0.65,3,4,1.25476348723786,1
18,0.65,3,6,0.470866743813537,1
18,0.65,3,8,0.732165658288311,1
18,0.65,3,10,0.0789183721013769,1
18,1.4,1,4,2.03866023066218,1
18,1.4,1,6,0.52037616252979,1
18,1.4,1,8,0.646655282458544,1
18,1.4,1,10,0.0789183721013769,1
18,1.4,3,4,2.03866023066218,1
18,1.4,3,6,0.732165658288311,1
18,1.4,3,8,0.0789183721013769,1
18,1.4,3,10,-0.574328914085558,1
