Subject_code,foreperiod,predictability,difficulty,nanmean_score
1,0.65,1,4,0.714285714285714
1,0.65,1,6,0.428571428571429
1,0.65,1,8,0.888888888888889
1,0.65,1,10,0.25
1,0.65,3,4,0.75
1,0.65,3,6,0
1,0.65,3,8,1
1,0.65,3,10,0.333333333333333
1,1.4,1,4,1
1,1.4,1,6,0.5
1,1.4,1,8,0.333333333333333
1,1.4,1,10,0.538461538461538
1,1.4,3,4,1
1,1.4,3,6,0.8
1,1.4,3,8,0.666666666666667
1,1.4,3,10,0.666666666666667
2,0.65,1,4,1
2,0.65,1,6,0.4
2,0.65,1,8,0.333333333333333
2,0.65,1,10,0.25
2,0.65,3,4,0.714285714285714
2,0.65,3,6,0
2,0.65,3,8,0.4
2,0.65,3,10,0.166666666666667
2,1.4,1,4,0.75
2,1.4,1,6,0.714285714285714
2,1.4,1,8,0.25
2,1.4,1,10,0.416666666666667
2,1.4,3,4,0.333333333333333
2,1.4,3,6,0.5
2,1.4,3,8,0.5
2,1.4,3,10,0.25
3,0.65,1,4,0.714285714285714
3,0.65,1,6,1
3,0.65,1,8,0.666666666666667
3,0.65,1,10,0.5
3,0.65,3,4,0.666666666666667
3,0.65,3,6,0.4
3,0.65,3,8,0.6
3,0.65,3,10,0.5
3,1.4,1,4,1
3,1.4,1,6,0.833333333333333
3,1.4,1,8,0.5
3,1.4,1,10,0.454545454545455
3,1.4,3,4,1
3,1.4,3,6,0.857142857142857
3,1.4,3,8,0.333333333333333
3,1.4,3,10,0.8
4,0.65,1,4,0.916666666666667
4,0.65,1,6,0.875
4,0.65,1,8,0.714285714285714
4,0.65,1,10,0.75
4,0.65,3,4,1
4,0.65,3,6,0.8
4,0.65,3,8,0.666666666666667
4,0.65,3,10,0.714285714285714
4,1.4,1,4,0.666666666666667
4,1.4,1,6,0.714285714285714
4,1.4,1,8,0.615384615384615
4,1.4,1,10,0.857142857142857
4,1.4,3,4,1
4,1.4,3,6,0.666666666666667
4,1.4,3,8,1
4,1.4,3,10,0.75
5,0.65,1,4,1
5,0.65,1,6,0.909090909090909
5,0.65,1,8,0.8
5,0.65,1,10,0.625
5,0.65,3,4,1
5,0.65,3,6,0.5
5,0.65,3,8,0.8
5,0.65,3,10,0.25
5,1.4,1,4,0.8
5,1.4,1,6,0.555555555555556
5,1.4,1,8,1
5,1.4,1,10,0.5
5,1.4,3,4,0.833333333333333
5,1.4,3,6,0.25
5,1.4,3,8,0.666666666666667
5,1.4,3,10,0.666666666666667
6,0.65,1,4,0.727272727272727
6,0.65,1,6,0.727272727272727
6,0.65,1,8,0.428571428571429
6,0.65,1,10,0.333333333333333
6,0.65,3,4,0.833333333333333
6,0.65,3,6,1
6,0.65,3,8,0
6,0.65,3,10,0.4
6,1.4,1,4,0.714285714285714
6,1.4,1,6,0.625
6,1.4,1,8,0.444444444444444
6,1.4,1,10,0.416666666666667
6,1.4,3,4,0.666666666666667
6,1.4,3,6,0.25
6,1.4,3,8,0.4
6,1.4,3,10,0.666666666666667
7,0.65,1,4,1
7,0.65,1,6,0.571428571428571
7,0.65,1,8,0.384615384615385
7,0.65,1,10,0.444444444444444
7,0.65,3,4,1
7,0.65,3,6,0.5
7,0.65,3,8,0.2
7,0.65,3,10,0.2
7,1.4,1,4,1
7,1.4,1,6,0.666666666666667
7,1.4,1,8,0.714285714285714
7,1.4,1,10,0.307692307692308
7,1.4,3,4,1
7,1.4,3,6,0.2
7,1.4,3,8,0.5
7,1.4,3,10,0.666666666666667
8,0.65,1,4,1
8,0.65,1,6,0.833333333333333
8,0.65,1,8,0.777777777777778
8,0.65,1,10,0.888888888888889
8,0.65,3,4,1
8,0.65,3,6,0.833333333333333
8,0.65,3,8,0
8,0.65,3,10,1
8,1.4,1,4,0.9
8,1.4,1,6,0.777777777777778
8,1.4,1,8,0.888888888888889
8,1.4,1,10,0.666666666666667
8,1.4,3,4,1
8,1.4,3,6,1
8,1.4,3,8,1
8,1.4,3,10,1
9,0.65,1,4,0.888888888888889
9,0.65,1,6,0.666666666666667
9,0.65,1,8,0.454545454545455
9,0.65,1,10,0.454545454545455
9,0.65,3,4,0.714285714285714
9,0.65,3,6,1
9,0.65,3,8,0.5
9,0.65,3,10,0.4
9,1.4,1,4,0.875
9,1.4,1,6,0.444444444444444
9,1.4,1,8,0.444444444444444
9,1.4,1,10,0.545454545454545
9,1.4,3,4,1
9,1.4,3,6,0.4
9,1.4,3,8,0.6
9,1.4,3,10,0.4
10,0.65,1,4,1
10,0.65,1,6,1
10,0.65,1,8,0.625
10,0.65,1,10,0.888888888888889
10,0.65,3,4,1
10,0.65,3,6,0.666666666666667
10,0.65,3,8,0.6
10,0.65,3,10,0.666666666666667
10,1.4,1,4,1
10,1.4,1,6,0.75
10,1.4,1,8,0.777777777777778
10,1.4,1,10,1
10,1.4,3,4,1
10,1.4,3,6,1
10,1.4,3,8,0.4
10,1.4,3,10,0.571428571428571
11,0.65,1,4,0.818181818181818
11,0.65,1,6,0.5
11,0.65,1,8,0.25
11,0.65,1,10,0.444444444444444
11,0.65,3,4,1
11,0.65,3,6,0.25
11,0.65,3,8,0.6
11,0.65,3,10,0.5
11,1.4,1,4,0.909090909090909
11,1.4,1,6,0.571428571428571
11,1.4,1,8,0.555555555555556
11,1.4,1,10,0.714285714285714
11,1.4,3,4,0.75
11,1.4,3,6,0.666666666666667
11,1.4,3,8,0
11,1.4,3,10,0.285714285714286
12,0.65,1,4,1
12,0.65,1,6,0.727272727272727
12,0.65,1,8,0.571428571428571
12,0.65,1,10,0.5
12,0.65,3,4,0.5
12,0.65,3,6,1
12,0.65,3,8,0.571428571428571
12,0.65,3,10,0
12,1.4,1,4,0.875
12,1.4,1,6,0.666666666666667
12,1.4,1,8,0.384615384615385
12,1.4,1,10,0.461538461538462
12,1.4,3,4,0.666666666666667
12,1.4,3,6,0.666666666666667
12,1.4,3,8,0.25
12,1.4,3,10,0.833333333333333
13,0.65,1,4,0.833333333333333
13,0.65,1,6,0.7
13,0.65,1,8,0.642857142857143
13,0.65,1,10,0.285714285714286
13,0.65,3,4,1
13,0.65,3,6,0.4
13,0.65,3,8,0.666666666666667
13,0.65,3,10,0.8
13,1.4,1,4,1
13,1.4,1,6,0.666666666666667
13,1.4,1,8,0.4
13,1.4,1,10,0.777777777777778
13,1.4,3,4,1
13,1.4,3,6,0.8
13,1.4,3,8,0.714285714285714
13,1.4,3,10,0.25
14,0.65,1,4,1
14,0.65,1,6,0.666666666666667
14,0.65,1,8,0.875
14,0.65,1,10,0.416666666666667
14,0.65,3,4,1
14,0.65,3,6,0.833333333333333
14,0.65,3,8,0.714285714285714
14,0.65,3,10,1
14,1.4,1,4,1
14,1.4,1,6,0.777777777777778
14,1.4,1,8,0.9
14,1.4,1,10,0.8
14,1.4,3,4,0.833333333333333
14,1.4,3,6,0.6
14,1.4,3,8,0.8
14,1.4,3,10,0.6
15,0.65,1,4,1
15,0.65,1,6,1
15,0.65,1,8,0.444444444444444
15,0.65,1,10,0.285714285714286
15,0.65,3,4,0.857142857142857
15,0.65,3,6,0.6
15,0.65,3,8,0.666666666666667
15,0.65,3,10,0.666666666666667
15,1.4,1,4,1
15,1.4,1,6,0.7
15,1.4,1,8,0.7
15,1.4,1,10,0.833333333333333
15,1.4,3,4,1
15,1.4,3,6,0.75
15,1.4,3,8,1
15,1.4,3,10,1
16,0.65,1,4,0.875
16,0.65,1,6,0.571428571428571
16,0.65,1,8,1
16,0.65,1,10,0.666666666666667
16,0.65,3,4,0.8
16,0.65,3,6,0.857142857142857
16,0.65,3,8,0.8
16,0.65,3,10,0.666666666666667
16,1.4,1,4,1
16,1.4,1,6,1
16,1.4,1,8,0.777777777777778
16,1.4,1,10,1
16,1.4,3,4,1
16,1.4,3,6,0.666666666666667
16,1.4,3,8,0.666666666666667
16,1.4,3,10,1
17,0.65,1,4,1
17,0.65,1,6,0.75
17,0.65,1,8,0.375
17,0.65,1,10,0.333333333333333
17,0.65,3,4,1
17,0.65,3,6,0.666666666666667
17,0.65,3,8,0.6
17,0.65,3,10,0.2
17,1.4,1,4,1
17,1.4,1,6,0.8
17,1.4,1,8,0.5
17,1.4,1,10,0.538461538461538
17,1.4,3,4,1
17,1.4,3,6,0.8
17,1.4,3,8,0.333333333333333
17,1.4,3,10,0.5
18,0.65,1,4,1
18,0.65,1,6,1
18,0.65,1,8,0.75
18,0.65,1,10,0.5
18,0.65,3,4,0.8
18,0.65,3,6,0.6
18,0.65,3,8,0.666666666666667
18,0.65,3,10,0.5
18,1.4,1,4,1
18,1.4,1,6,0.846153846153846
18,1.4,1,8,0.857142857142857
18,1.4,1,10,0.5
18,1.4,3,4,1
18,1.4,3,6,0.666666666666667
18,1.4,3,8,0.5
18,1.4,3,10,0.333333333333333
