Subject_code,pos_rad,foreperiod,predictability,difficulty,nanmean_TP
1,0.392699081698724,0.65,1,8,0.833333333333333
1,0.392699081698724,0.65,3,8,1
1,0.392699081698724,1.4,1,8,1
1,0.392699081698724,1.4,3,8,1
1,0.785398163397448,0.65,1,4,1
1,0.785398163397448,0.65,3,4,1
1,0.785398163397448,1.4,1,4,1
1,0.785398163397448,1.4,3,4,1
1,1.17809724509617,0.65,1,8,0.833333333333333
1,1.17809724509617,0.65,3,8,1
1,1.17809724509617,1.4,1,8,1
1,1.17809724509617,1.4,3,8,1
1,1.96349540849362,0.65,1,8,0.833333333333333
1,1.96349540849362,0.65,3,8,0.5
1,1.96349540849362,1.4,1,8,1
1,1.96349540849362,1.4,3,8,0.5
1,2.35619449019234,0.65,1,4,1
1,2.35619449019234,0.65,3,4,1
1,2.35619449019234,1.4,1,4,1
1,2.35619449019234,1.4,3,4,1
1,2.74889357189107,0.65,1,8,0.833333333333333
1,2.74889357189107,0.65,3,8,1
1,2.74889357189107,1.4,1,8,0.333333333333333
1,2.74889357189107,1.4,3,8,1
1,3.53429173528852,0.65,1,8,0.833333333333333
1,3.53429173528852,0.65,3,8,0.5
1,3.53429173528852,1.4,1,8,0.833333333333333
1,3.53429173528852,1.4,3,8,1
1,3.92699081698724,0.65,1,4,0.75
1,3.92699081698724,0.65,3,4,1
1,3.92699081698724,1.4,1,4,0.916666666666667
1,3.92699081698724,1.4,3,4,0.833333333333333
1,4.31968989868597,0.65,1,8,0.666666666666667
1,4.31968989868597,0.65,3,8,1
1,4.31968989868597,1.4,1,8,1
1,4.31968989868597,1.4,3,8,0.75
1,5.10508806208341,0.65,1,8,0.833333333333333
1,5.10508806208341,0.65,3,8,1
1,5.10508806208341,1.4,1,8,1
1,5.10508806208341,1.4,3,8,1
1,5.49778714378214,0.65,1,4,1
1,5.49778714378214,0.65,3,4,1
1,5.49778714378214,1.4,1,4,0.833333333333333
1,5.49778714378214,1.4,3,4,1
1,5.89048622548086,0.65,1,8,1
1,5.89048622548086,0.65,3,8,0.5
1,5.89048622548086,1.4,1,8,1
1,5.89048622548086,1.4,3,8,1
2,0.392699081698724,0.65,1,8,0.666666666666667
2,0.392699081698724,0.65,3,8,0.5
2,0.392699081698724,1.4,1,8,0.666666666666667
2,0.392699081698724,1.4,3,8,1
2,0.785398163397448,0.65,1,4,0.833333333333333
2,0.785398163397448,0.65,3,4,1
2,0.785398163397448,1.4,1,4,0.916666666666667
2,0.785398163397448,1.4,3,4,1
2,1.17809724509617,0.65,1,8,0.5
2,1.17809724509617,0.65,3,8,0.5
2,1.17809724509617,1.4,1,8,0.833333333333333
2,1.17809724509617,1.4,3,8,0.25
2,1.96349540849362,0.65,1,8,0.833333333333333
2,1.96349540849362,0.65,3,8,1
2,1.96349540849362,1.4,1,8,0.833333333333333
2,1.96349540849362,1.4,3,8,0.5
2,2.35619449019234,0.65,1,4,1
2,2.35619449019234,0.65,3,4,1
2,2.35619449019234,1.4,1,4,0.916666666666667
2,2.35619449019234,1.4,3,4,1
2,2.74889357189107,0.65,1,8,1
2,2.74889357189107,0.65,3,8,1
2,2.74889357189107,1.4,1,8,0.833333333333333
2,2.74889357189107,1.4,3,8,0.75
2,3.53429173528852,0.65,1,8,0.666666666666667
2,3.53429173528852,0.65,3,8,1
2,3.53429173528852,1.4,1,8,0.666666666666667
2,3.53429173528852,1.4,3,8,1
2,3.92699081698724,0.65,1,4,1
2,3.92699081698724,0.65,3,4,1
2,3.92699081698724,1.4,1,4,1
2,3.92699081698724,1.4,3,4,0.833333333333333
2,4.31968989868597,0.65,1,8,0.333333333333333
2,4.31968989868597,0.65,3,8,0
2,4.31968989868597,1.4,1,8,0.666666666666667
2,4.31968989868597,1.4,3,8,0.25
2,5.10508806208341,0.65,1,8,0.333333333333333
2,5.10508806208341,0.65,3,8,0.75
2,5.10508806208341,1.4,1,8,0.5
2,5.10508806208341,1.4,3,8,0.5
2,5.49778714378214,0.65,1,4,1
2,5.49778714378214,0.65,3,4,1
2,5.49778714378214,1.4,1,4,1
2,5.49778714378214,1.4,3,4,1
2,5.89048622548086,0.65,1,8,0.833333333333333
2,5.89048622548086,0.65,3,8,0.5
2,5.89048622548086,1.4,1,8,0.666666666666667
2,5.89048622548086,1.4,3,8,0.5
3,0.392699081698724,0.65,1,8,0.833333333333333
3,0.392699081698724,0.65,3,8,0.5
3,0.392699081698724,1.4,1,8,1
3,0.392699081698724,1.4,3,8,1
3,0.785398163397448,0.65,1,4,1
3,0.785398163397448,0.65,3,4,0.5
3,0.785398163397448,1.4,1,4,0.916666666666667
3,0.785398163397448,1.4,3,4,1
3,1.17809724509617,0.65,1,8,1
3,1.17809724509617,0.65,3,8,1
3,1.17809724509617,1.4,1,8,0.666666666666667
3,1.17809724509617,1.4,3,8,0.75
3,1.96349540849362,0.65,1,8,1
3,1.96349540849362,0.65,3,8,0.5
3,1.96349540849362,1.4,1,8,0.666666666666667
3,1.96349540849362,1.4,3,8,1
3,2.35619449019234,0.65,1,4,1
3,2.35619449019234,0.65,3,4,1
3,2.35619449019234,1.4,1,4,1
3,2.35619449019234,1.4,3,4,1
3,2.74889357189107,0.65,1,8,1
3,2.74889357189107,0.65,3,8,1
3,2.74889357189107,1.4,1,8,1
3,2.74889357189107,1.4,3,8,1
3,3.53429173528852,0.65,1,8,0.5
3,3.53429173528852,0.65,3,8,0.25
3,3.53429173528852,1.4,1,8,0.333333333333333
3,3.53429173528852,1.4,3,8,0.5
3,3.92699081698724,0.65,1,4,1
3,3.92699081698724,0.65,3,4,1
3,3.92699081698724,1.4,1,4,1
3,3.92699081698724,1.4,3,4,1
3,4.31968989868597,0.65,1,8,0.333333333333333
3,4.31968989868597,0.65,3,8,0
3,4.31968989868597,1.4,1,8,0
3,4.31968989868597,1.4,3,8,0
3,5.10508806208341,0.65,1,8,0.333333333333333
3,5.10508806208341,0.65,3,8,0
3,5.10508806208341,1.4,1,8,0.166666666666667
3,5.10508806208341,1.4,3,8,0.5
3,5.49778714378214,0.65,1,4,0.833333333333333
3,5.49778714378214,0.65,3,4,1
3,5.49778714378214,1.4,1,4,0.916666666666667
3,5.49778714378214,1.4,3,4,1
3,5.89048622548086,0.65,1,8,0.5
3,5.89048622548086,0.65,3,8,0
3,5.89048622548086,1.4,1,8,0.5
3,5.89048622548086,1.4,3,8,0.25
4,0.392699081698724,0.65,1,8,0.666666666666667
4,0.392699081698724,0.65,3,8,0.25
4,0.392699081698724,1.4,1,8,0.666666666666667
4,0.392699081698724,1.4,3,8,1
4,0.785398163397448,0.65,1,4,1
4,0.785398163397448,0.65,3,4,1
4,0.785398163397448,1.4,1,4,1
4,0.785398163397448,1.4,3,4,1
4,1.17809724509617,0.65,1,8,0.833333333333333
4,1.17809724509617,0.65,3,8,1
4,1.17809724509617,1.4,1,8,0.833333333333333
4,1.17809724509617,1.4,3,8,1
4,1.96349540849362,0.65,1,8,0.666666666666667
4,1.96349540849362,0.65,3,8,0.75
4,1.96349540849362,1.4,1,8,0.333333333333333
4,1.96349540849362,1.4,3,8,1
4,2.35619449019234,0.65,1,4,0.916666666666667
4,2.35619449019234,0.65,3,4,0.833333333333333
4,2.35619449019234,1.4,1,4,1
4,2.35619449019234,1.4,3,4,0.833333333333333
4,2.74889357189107,0.65,1,8,0.333333333333333
4,2.74889357189107,0.65,3,8,1
4,2.74889357189107,1.4,1,8,1
4,2.74889357189107,1.4,3,8,0.25
4,3.53429173528852,0.65,1,8,0.166666666666667
4,3.53429173528852,0.65,3,8,0
4,3.53429173528852,1.4,1,8,0.333333333333333
4,3.53429173528852,1.4,3,8,0.5
4,3.92699081698724,0.65,1,4,0.916666666666667
4,3.92699081698724,0.65,3,4,1
4,3.92699081698724,1.4,1,4,0.916666666666667
4,3.92699081698724,1.4,3,4,1
4,4.31968989868597,0.65,1,8,0.5
4,4.31968989868597,0.65,3,8,0.5
4,4.31968989868597,1.4,1,8,0.5
4,4.31968989868597,1.4,3,8,0.5
4,5.10508806208341,0.65,1,8,0.5
4,5.10508806208341,0.65,3,8,0.5
4,5.10508806208341,1.4,1,8,0.833333333333333
4,5.10508806208341,1.4,3,8,1
4,5.49778714378214,0.65,1,4,1
4,5.49778714378214,0.65,3,4,1
4,5.49778714378214,1.4,1,4,1
4,5.49778714378214,1.4,3,4,1
4,5.89048622548086,0.65,1,8,0.166666666666667
4,5.89048622548086,0.65,3,8,0
4,5.89048622548086,1.4,1,8,0.333333333333333
4,5.89048622548086,1.4,3,8,0.25
5,0.392699081698724,0.65,1,8,0.833333333333333
5,0.392699081698724,0.65,3,8,0.75
5,0.392699081698724,1.4,1,8,1
5,0.392699081698724,1.4,3,8,1
5,0.785398163397448,0.65,1,4,1
5,0.785398163397448,0.65,3,4,1
5,0.785398163397448,1.4,1,4,1
5,0.785398163397448,1.4,3,4,1
5,1.17809724509617,0.65,1,8,1
5,1.17809724509617,0.65,3,8,1
5,1.17809724509617,1.4,1,8,0.666666666666667
5,1.17809724509617,1.4,3,8,0.75
5,1.96349540849362,0.65,1,8,1
5,1.96349540849362,0.65,3,8,0.75
5,1.96349540849362,1.4,1,8,0.5
5,1.96349540849362,1.4,3,8,1
5,2.35619449019234,0.65,1,4,1
5,2.35619449019234,0.65,3,4,1
5,2.35619449019234,1.4,1,4,1
5,2.35619449019234,1.4,3,4,1
5,2.74889357189107,0.65,1,8,0.833333333333333
5,2.74889357189107,0.65,3,8,0.5
5,2.74889357189107,1.4,1,8,0.5
5,2.74889357189107,1.4,3,8,0.75
5,3.53429173528852,0.65,1,8,0.666666666666667
5,3.53429173528852,0.65,3,8,0.5
5,3.53429173528852,1.4,1,8,0.5
5,3.53429173528852,1.4,3,8,0.5
5,3.92699081698724,0.65,1,4,1
5,3.92699081698724,0.65,3,4,1
5,3.92699081698724,1.4,1,4,1
5,3.92699081698724,1.4,3,4,1
5,4.31968989868597,0.65,1,8,0.166666666666667
5,4.31968989868597,0.65,3,8,0.5
5,4.31968989868597,1.4,1,8,0.333333333333333
5,4.31968989868597,1.4,3,8,0
5,5.10508806208341,0.65,1,8,0.333333333333333
5,5.10508806208341,0.65,3,8,1
5,5.10508806208341,1.4,1,8,0.5
5,5.10508806208341,1.4,3,8,0.5
5,5.49778714378214,0.65,1,4,1
5,5.49778714378214,0.65,3,4,1
5,5.49778714378214,1.4,1,4,1
5,5.49778714378214,1.4,3,4,1
5,5.89048622548086,0.65,1,8,0.833333333333333
5,5.89048622548086,0.65,3,8,1
5,5.89048622548086,1.4,1,8,0.833333333333333
5,5.89048622548086,1.4,3,8,0.5
6,0.392699081698724,0.65,1,8,0.333333333333333
6,0.392699081698724,0.65,3,8,0
6,0.392699081698724,1.4,1,8,0.833333333333333
6,0.392699081698724,1.4,3,8,1
6,0.785398163397448,0.65,1,4,1
6,0.785398163397448,0.65,3,4,1
6,0.785398163397448,1.4,1,4,1
6,0.785398163397448,1.4,3,4,1
6,1.17809724509617,0.65,1,8,0.833333333333333
6,1.17809724509617,0.65,3,8,0.5
6,1.17809724509617,1.4,1,8,1
6,1.17809724509617,1.4,3,8,0.5
6,1.96349540849362,0.65,1,8,0.666666666666667
6,1.96349540849362,0.65,3,8,0.5
6,1.96349540849362,1.4,1,8,0.833333333333333
6,1.96349540849362,1.4,3,8,1
6,2.35619449019234,0.65,1,4,1
6,2.35619449019234,0.65,3,4,1
6,2.35619449019234,1.4,1,4,0.916666666666667
6,2.35619449019234,1.4,3,4,1
6,2.74889357189107,0.65,1,8,0.666666666666667
6,2.74889357189107,0.65,3,8,1
6,2.74889357189107,1.4,1,8,0.666666666666667
6,2.74889357189107,1.4,3,8,0.75
6,3.53429173528852,0.65,1,8,0.333333333333333
6,3.53429173528852,0.65,3,8,0.25
6,3.53429173528852,1.4,1,8,0
6,3.53429173528852,1.4,3,8,1
6,3.92699081698724,0.65,1,4,0.916666666666667
6,3.92699081698724,0.65,3,4,0.666666666666667
6,3.92699081698724,1.4,1,4,0.916666666666667
6,3.92699081698724,1.4,3,4,1
6,4.31968989868597,0.65,1,8,0.333333333333333
6,4.31968989868597,0.65,3,8,0
6,4.31968989868597,1.4,1,8,0.166666666666667
6,4.31968989868597,1.4,3,8,0
6,5.10508806208341,0.65,1,8,0
6,5.10508806208341,0.65,3,8,0
6,5.10508806208341,1.4,1,8,0
6,5.10508806208341,1.4,3,8,0
6,5.49778714378214,0.65,1,4,0.666666666666667
6,5.49778714378214,0.65,3,4,1
6,5.49778714378214,1.4,1,4,0.75
6,5.49778714378214,1.4,3,4,0.833333333333333
6,5.89048622548086,0.65,1,8,0.5
6,5.89048622548086,0.65,3,8,0
6,5.89048622548086,1.4,1,8,0.5
6,5.89048622548086,1.4,3,8,0.75
7,0.392699081698724,0.65,1,8,1
7,0.392699081698724,0.65,3,8,1
7,0.392699081698724,1.4,1,8,0.833333333333333
7,0.392699081698724,1.4,3,8,1
7,0.785398163397448,0.65,1,4,1
7,0.785398163397448,0.65,3,4,1
7,0.785398163397448,1.4,1,4,1
7,0.785398163397448,1.4,3,4,1
7,1.17809724509617,0.65,1,8,0.833333333333333
7,1.17809724509617,0.65,3,8,0
7,1.17809724509617,1.4,1,8,1
7,1.17809724509617,1.4,3,8,0.75
7,1.96349540849362,0.65,1,8,1
7,1.96349540849362,0.65,3,8,0.75
7,1.96349540849362,1.4,1,8,1
7,1.96349540849362,1.4,3,8,1
7,2.35619449019234,0.65,1,4,1
7,2.35619449019234,0.65,3,4,1
7,2.35619449019234,1.4,1,4,1
7,2.35619449019234,1.4,3,4,1
7,2.74889357189107,0.65,1,8,0.833333333333333
7,2.74889357189107,0.65,3,8,1
7,2.74889357189107,1.4,1,8,0.666666666666667
7,2.74889357189107,1.4,3,8,1
7,3.53429173528852,0.65,1,8,0.5
7,3.53429173528852,0.65,3,8,0.75
7,3.53429173528852,1.4,1,8,0.833333333333333
7,3.53429173528852,1.4,3,8,1
7,3.92699081698724,0.65,1,4,1
7,3.92699081698724,0.65,3,4,1
7,3.92699081698724,1.4,1,4,1
7,3.92699081698724,1.4,3,4,1
7,4.31968989868597,0.65,1,8,0.333333333333333
7,4.31968989868597,0.65,3,8,0
7,4.31968989868597,1.4,1,8,0.5
7,4.31968989868597,1.4,3,8,0.75
7,5.10508806208341,0.65,1,8,0.5
7,5.10508806208341,0.65,3,8,1
7,5.10508806208341,1.4,1,8,0.666666666666667
7,5.10508806208341,1.4,3,8,0
7,5.49778714378214,0.65,1,4,0.833333333333333
7,5.49778714378214,0.65,3,4,1
7,5.49778714378214,1.4,1,4,0.916666666666667
7,5.49778714378214,1.4,3,4,1
7,5.89048622548086,0.65,1,8,1
7,5.89048622548086,0.65,3,8,0.5
7,5.89048622548086,1.4,1,8,1
7,5.89048622548086,1.4,3,8,0.25
8,0.392699081698724,0.65,1,8,0.666666666666667
8,0.392699081698724,0.65,3,8,1
8,0.392699081698724,1.4,1,8,1
8,0.392699081698724,1.4,3,8,1
8,0.785398163397448,0.65,1,4,1
8,0.785398163397448,0.65,3,4,1
8,0.785398163397448,1.4,1,4,1
8,0.785398163397448,1.4,3,4,1
8,1.17809724509617,0.65,1,8,0.666666666666667
8,1.17809724509617,0.65,3,8,1
8,1.17809724509617,1.4,1,8,1
8,1.17809724509617,1.4,3,8,0.75
8,1.96349540849362,0.65,1,8,0.333333333333333
8,1.96349540849362,0.65,3,8,0.5
8,1.96349540849362,1.4,1,8,0.833333333333333
8,1.96349540849362,1.4,3,8,0.5
8,2.35619449019234,0.65,1,4,1
8,2.35619449019234,0.65,3,4,1
8,2.35619449019234,1.4,1,4,1
8,2.35619449019234,1.4,3,4,1
8,2.74889357189107,0.65,1,8,0.5
8,2.74889357189107,0.65,3,8,0
8,2.74889357189107,1.4,1,8,0.5
8,2.74889357189107,1.4,3,8,0.5
8,3.53429173528852,0.65,1,8,0.333333333333333
8,3.53429173528852,0.65,3,8,0.25
8,3.53429173528852,1.4,1,8,0.333333333333333
8,3.53429173528852,1.4,3,8,0.5
8,3.92699081698724,0.65,1,4,1
8,3.92699081698724,0.65,3,4,1
8,3.92699081698724,1.4,1,4,1
8,3.92699081698724,1.4,3,4,1
8,4.31968989868597,0.65,1,8,0.5
8,4.31968989868597,0.65,3,8,0.5
8,4.31968989868597,1.4,1,8,0.666666666666667
8,4.31968989868597,1.4,3,8,0.75
8,5.10508806208341,0.65,1,8,0.5
8,5.10508806208341,0.65,3,8,0.75
8,5.10508806208341,1.4,1,8,0.666666666666667
8,5.10508806208341,1.4,3,8,1
8,5.49778714378214,0.65,1,4,1
8,5.49778714378214,0.65,3,4,1
8,5.49778714378214,1.4,1,4,1
8,5.49778714378214,1.4,3,4,1
8,5.89048622548086,0.65,1,8,0.333333333333333
8,5.89048622548086,0.65,3,8,0.5
8,5.89048622548086,1.4,1,8,0.5
8,5.89048622548086,1.4,3,8,0.75
9,0.392699081698724,0.65,1,8,0.5
9,0.392699081698724,0.65,3,8,0.75
9,0.392699081698724,1.4,1,8,0.833333333333333
9,0.392699081698724,1.4,3,8,0
9,0.785398163397448,0.65,1,4,1
9,0.785398163397448,0.65,3,4,1
9,0.785398163397448,1.4,1,4,0.916666666666667
9,0.785398163397448,1.4,3,4,1
9,1.17809724509617,0.65,1,8,1
9,1.17809724509617,0.65,3,8,1
9,1.17809724509617,1.4,1,8,1
9,1.17809724509617,1.4,3,8,1
9,1.96349540849362,0.65,1,8,0.833333333333333
9,1.96349540849362,0.65,3,8,1
9,1.96349540849362,1.4,1,8,1
9,1.96349540849362,1.4,3,8,1
9,2.35619449019234,0.65,1,4,1
9,2.35619449019234,0.65,3,4,1
9,2.35619449019234,1.4,1,4,1
9,2.35619449019234,1.4,3,4,1
9,2.74889357189107,0.65,1,8,0.666666666666667
9,2.74889357189107,0.65,3,8,0
9,2.74889357189107,1.4,1,8,0.5
9,2.74889357189107,1.4,3,8,1
9,3.53429173528852,0.65,1,8,0.333333333333333
9,3.53429173528852,0.65,3,8,0.75
9,3.53429173528852,1.4,1,8,0.5
9,3.53429173528852,1.4,3,8,1
9,3.92699081698724,0.65,1,4,1
9,3.92699081698724,0.65,3,4,0.833333333333333
9,3.92699081698724,1.4,1,4,0.833333333333333
9,3.92699081698724,1.4,3,4,0.666666666666667
9,4.31968989868597,0.65,1,8,0.5
9,4.31968989868597,0.65,3,8,0
9,4.31968989868597,1.4,1,8,0.5
9,4.31968989868597,1.4,3,8,0.5
9,5.10508806208341,0.65,1,8,0.833333333333333
9,5.10508806208341,0.65,3,8,0
9,5.10508806208341,1.4,1,8,0.5
9,5.10508806208341,1.4,3,8,0
9,5.49778714378214,0.65,1,4,0.833333333333333
9,5.49778714378214,0.65,3,4,1
9,5.49778714378214,1.4,1,4,0.75
9,5.49778714378214,1.4,3,4,0.666666666666667
9,5.89048622548086,0.65,1,8,1
9,5.89048622548086,0.65,3,8,1
9,5.89048622548086,1.4,1,8,0.833333333333333
9,5.89048622548086,1.4,3,8,0.5
10,0.392699081698724,0.65,1,8,1
10,0.392699081698724,0.65,3,8,1
10,0.392699081698724,1.4,1,8,1
10,0.392699081698724,1.4,3,8,0.5
10,0.785398163397448,0.65,1,4,0.916666666666667
10,0.785398163397448,0.65,3,4,0.833333333333333
10,0.785398163397448,1.4,1,4,1
10,0.785398163397448,1.4,3,4,1
10,1.17809724509617,0.65,1,8,1
10,1.17809724509617,0.65,3,8,1
10,1.17809724509617,1.4,1,8,1
10,1.17809724509617,1.4,3,8,1
10,1.96349540849362,0.65,1,8,0.833333333333333
10,1.96349540849362,0.65,3,8,0.5
10,1.96349540849362,1.4,1,8,0.666666666666667
10,1.96349540849362,1.4,3,8,1
10,2.35619449019234,0.65,1,4,1
10,2.35619449019234,0.65,3,4,0.833333333333333
10,2.35619449019234,1.4,1,4,1
10,2.35619449019234,1.4,3,4,1
10,2.74889357189107,0.65,1,8,0.666666666666667
10,2.74889357189107,0.65,3,8,1
10,2.74889357189107,1.4,1,8,0.833333333333333
10,2.74889357189107,1.4,3,8,0.5
10,3.53429173528852,0.65,1,8,0.666666666666667
10,3.53429173528852,0.65,3,8,0.25
10,3.53429173528852,1.4,1,8,0.833333333333333
10,3.53429173528852,1.4,3,8,1
10,3.92699081698724,0.65,1,4,1
10,3.92699081698724,0.65,3,4,1
10,3.92699081698724,1.4,1,4,1
10,3.92699081698724,1.4,3,4,0.833333333333333
10,4.31968989868597,0.65,1,8,0.666666666666667
10,4.31968989868597,0.65,3,8,0.5
10,4.31968989868597,1.4,1,8,0.833333333333333
10,4.31968989868597,1.4,3,8,0
10,5.10508806208341,0.65,1,8,0.666666666666667
10,5.10508806208341,0.65,3,8,0.75
10,5.10508806208341,1.4,1,8,0.5
10,5.10508806208341,1.4,3,8,1
10,5.49778714378214,0.65,1,4,1
10,5.49778714378214,0.65,3,4,1
10,5.49778714378214,1.4,1,4,0.916666666666667
10,5.49778714378214,1.4,3,4,1
10,5.89048622548086,0.65,1,8,0.833333333333333
10,5.89048622548086,0.65,3,8,0.5
10,5.89048622548086,1.4,1,8,0.833333333333333
10,5.89048622548086,1.4,3,8,1
11,0.392699081698724,0.65,1,8,0.666666666666667
11,0.392699081698724,0.65,3,8,0.75
11,0.392699081698724,1.4,1,8,0.833333333333333
11,0.392699081698724,1.4,3,8,1
11,0.785398163397448,0.65,1,4,0.916666666666667
11,0.785398163397448,0.65,3,4,1
11,0.785398163397448,1.4,1,4,0.916666666666667
11,0.785398163397448,1.4,3,4,0.833333333333333
11,1.17809724509617,0.65,1,8,0.5
11,1.17809724509617,0.65,3,8,1
11,1.17809724509617,1.4,1,8,0.5
11,1.17809724509617,1.4,3,8,0
11,1.96349540849362,0.65,1,8,0.833333333333333
11,1.96349540849362,0.65,3,8,0.75
11,1.96349540849362,1.4,1,8,0.666666666666667
11,1.96349540849362,1.4,3,8,0.5
11,2.35619449019234,0.65,1,4,0.916666666666667
11,2.35619449019234,0.65,3,4,1
11,2.35619449019234,1.4,1,4,1
11,2.35619449019234,1.4,3,4,1
11,2.74889357189107,0.65,1,8,0.833333333333333
11,2.74889357189107,0.65,3,8,0.5
11,2.74889357189107,1.4,1,8,0.666666666666667
11,2.74889357189107,1.4,3,8,1
11,3.53429173528852,0.65,1,8,0.833333333333333
11,3.53429173528852,0.65,3,8,0.5
11,3.53429173528852,1.4,1,8,0.666666666666667
11,3.53429173528852,1.4,3,8,0.5
11,3.92699081698724,0.65,1,4,1
11,3.92699081698724,0.65,3,4,1
11,3.92699081698724,1.4,1,4,1
11,3.92699081698724,1.4,3,4,1
11,4.31968989868597,0.65,1,8,0.666666666666667
11,4.31968989868597,0.65,3,8,0
11,4.31968989868597,1.4,1,8,0.333333333333333
11,4.31968989868597,1.4,3,8,0
11,5.10508806208341,0.65,1,8,0.166666666666667
11,5.10508806208341,0.65,3,8,0.5
11,5.10508806208341,1.4,1,8,0
11,5.10508806208341,1.4,3,8,0.5
11,5.49778714378214,0.65,1,4,0.916666666666667
11,5.49778714378214,0.65,3,4,1
11,5.49778714378214,1.4,1,4,0.833333333333333
11,5.49778714378214,1.4,3,4,1
11,5.89048622548086,0.65,1,8,0.333333333333333
11,5.89048622548086,0.65,3,8,0.5
11,5.89048622548086,1.4,1,8,0.5
11,5.89048622548086,1.4,3,8,0.75
